sentence1,relation,relationscore,structure,structurescore
A girl is styling her hair.,Her hair is styling the girl.,2,"Styling her hair, a girl is.",4
A group of men play soccer on the beach.,"On the beach, soccer is being played by a group of men.",4,"On the beach, a group of men play soccer.",5
One woman is measuring another woman's ankle.,An ankle is being measured by one woman on another woman.,5,"Another woman's ankle, one woman is measuring.",4
A man is cutting up a cucumber.,A cucumber is being cut up by a man.,5,"Up a cucumber, a man is cutting.",3
A man is playing a harp.,A harp is being played by a man.,5,"A harp, playing, a man is.",3
A woman is cutting onions.,Onions are being cut by a woman.,5,"Onions, cutting, a woman is.",3
A man is riding an electric bicycle.,An electric bicycle is being ridden by a man.,5,"An electric bicycle, riding, a man is.",3
A man is playing the drums.,The drums are being played by a man.,5,"The drums, playing, a man is.",3
A man is playing guitar.,A guitar is being played by a man.,5,"A guitar, playing, a man is.",3
A man is playing a guitar.,A guitar is being played by a man. (no change),5,"A guitar, playing, a man is.",2
A man is cutting an onion.,An onion is cutting a man.,0,"Cutting an onion, a man is.",4
A man is cycling.,A cycle is manning.,2,"Cycling, a man is.",4
A man is slicing open a fish.,A fish is slicing open a man.,0,"Slicing open a fish, a man is.",4
A man is slicing a tomato.,A tomato is slicing a man.,0,"Slicing a tomato, a man is.",4
A baby panda goes down a slide.,A slide goes down a baby panda.,2,"Down a slide, a baby panda goes.",4
A man is singing and playing a guitar.,A guitar is singing and playing a man.,1,"Singing and playing a guitar, a man is.",4
A man attacks a woman.,A woman attacks a man.,1,A woman is attacked by a man.,5
A man is driving a car.,A car is driving a man.,2,"Driving a car, a man is.",4
A woman is cutting tofu.,Tofu is cutting a woman.,0,"Cutting tofu, a woman is.",4
The woman is styling her hair.,Hair is styling the woman.,1,"Styling her hair, the woman is.",4
Two zebras play in an open field.,An open field plays with two zebras.,2,"In an open field, two zebras play.",5
A man is cutting a potato.,A potato is cutting a man.,0,"Cutting a potato, a man is.",4
A man is slicing an onion.,An onion is slicing a man.,0,"Slicing an onion, a man is.",4
A  man is dancing.,A dance is manning.,2,"Dancing, a man is.",4
A man is riding a motorcycle.,A motorcycle is riding a man.,2,"Riding a motorcycle, a man is.",4
