sentence1,relation,relationscore,structure,structurescore
A group of kids is playing in a yard and an old man is standing in the background,An old man is standing in the background and a group of kids is playing in a yard,4,"In the background, an old man is standing while a group of kids play in the yard.",5
A group of children is playing in the house and there is no man standing in the background,There is no man standing in the background and a group of children is playing in the house,2,No man is standing in the background while a group of children play inside the house.,3
The young boys are playing outdoors and the man is smiling nearby,The man is smiling nearby and the young boys are playing outdoors,4,"Nearby, a man is smiling while the young boys play outdoors.",4
The kids are playing outdoors near a man with a smile,A man with a smile is near the kids playing outdoors,4,"With a smile, the man watches the kids play outdoors.",5
Two dogs are fighting,"Fighting, two dogs are",3,Two dogs are engaged in a fight.,3
A brown dog is attacking another animal in front of the man in pants,"In front of the man in pants, a brown dog is attacking another animal",4,"In front of the man in pants, a brown dog is attacking another animal.",4
Nobody is riding the bicycle on one wheel,"On one wheel, nobody is riding the bicycle",2,One wheel bicycle is not being ridden by anyone.,5
A person is riding the bicycle on one wheel,"On one wheel, a person is riding the bicycle",4,Riding the bicycle on one wheel is a person.,4
A person on a black motorbike is doing tricks with a jacket,"With a jacket, a person on a black motorbike is doing tricks",4,"Doing tricks with a jacket, a person on a black motorbike is seen.",4
A man with a jersey is dunking the ball at a basketball game,"At a basketball game, a man with a jersey is dunking the ball",4,"At the basketball game, a man with a jersey is dunking the ball.",4
The player is dunking the basketball into the net and a crowd is in background,A crowd is in background and the player is dunking the basketball into the net,4,"Dunking the basketball into the net, the player is, with a crowd in the background.",3
Two people are kickboxing and spectators are not watching,Spectators are not watching and two people are kickboxing,4,Spectators are not watching as two people kickbox.,4
Two young women are sparring in a kickboxing fight,"In a kickboxing fight, two young women are sparring",4,"In a kickboxing fight, two young women are sparring.",3
Two young women are not sparring in a kickboxing fight,"In a kickboxing fight, two young women are not sparring",4,"Not sparring in a kickboxing fight, two young women are.",5
Two people are kickboxing and spectators are watching,Spectators are watching and two people are kickboxing,4,Spectators are watching as two people kickbox.,4
Two women are sparring in a kickboxing match,"In a kickboxing match, two women are sparring",4,"In a kickboxing match, two women are sparring.",3
Three boys are jumping in the leaves,Leaves are jumping in three boys.,1,"Jumping in the leaves, three boys are.",3
Three kids are sitting in the leaves,Leaves are sitting in three kids.,1,"Sitting in the leaves, three kids are.",5
Children in red shirts are playing in the leaves,Playing in the leaves are children in red shirts.,2,"Playing in the leaves, children in red shirts are.",3
Two angels are making snow on the lying children,The lying children are making snow on two angels.,1,Snow is being made on the lying children by two angels.,2
Two children are lying in the snow and are drawing angels,Two snowmen are lying in the children and drawing angels.,2,"Drawing angels, two children are lying in the snow.",4
Two people in snowsuits are lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and are making snow angels,4,"Making snow angels, two people in snowsuits are lying in the snow.",3
Two children are lying in the snow and are making snow angels,Two children are lying in the snow and making snow angels,5,"Lying in the snow, two children are making snow angels.",4
People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are gathering in a forest and looking in the same direction,5,People wearing masks are gathering in a forest and are looking in the same direction.,2
People are looking at some costumes gathered in the vicinity of the forest,People are looking at some costumes gathered near the forest,2,"Gathered in the vicinity of the forest, people are looking at some costumes.",3
A young girl is looking at a woman in costume,A young girl is looking at a woman wearing a costume,4,An old woman is looking at a woman in costume.,2
A lone biker is jumping in the air,A biker is jumping in the air,3,A lone biker is falling in the air.,2
There is no biker jumping in the air,No biker is jumping in the air,1,There is a biker jumping in the air.,4
